"Serial.Number","Start.Time","Segment.Start.Time","Segment.Duration","UpDown.median","UpDown.mad","Degrees.median","Degrees.mad","UpDown.mean","UpDown.var","UpDown.sd","Degrees.mean","Degrees.var","Degrees.sd","Magnitude.mean","Light.mean","Light.max","Temp.mean","Temp.sumdiff","Temp.meandiff","Temp.abssumdiff","Temp.sddiff","Step.GENEAcount","Step.sd","Step.mean","Principal.Frequency.median","Principal.Frequency.mad","Principal.Frequency.GENEAratio","Principal.Frequency.sumdiff","Principal.Frequency.meandiff","Principal.Frequency.abssumdiff","Principal.Frequency.sddiff"
"063955",1641513602,"00:00:02",2400,5.02056916625604,0.379655044966988,270,1.4826,5.04512036543899,0.178360352046938,0.422327304406118,269.910074937552,4.01690674437968,2.00422222928988,0.00976652483953578,0,0,33.3021648626145,3.2,0.00266666666666666,13.8,0.0578418270200413,1,0,5.06756756756757,NA,NA,NA,0,NA,0,NA
"063955",1641516002,"00:40:02",10,-16.0711026889402,3.28419798447732,295,2.9652,-16.6577467485305,59.2236204994222,7.6956884357036,297.6,80.8,8.98888202169769,0.0443649366628296,0,0,34.3,0,0,0,0,0,0,0,NA,NA,NA,0,NA,0,NA
"063955",1641516012,"00:40:12",208,-6.54618953702614,0.404406151368836,293,0,-6.60218466410264,0.162779668748177,0.40345962468155,293.038461538462,0.192681105302465,0.438954559496156,0.00759912011806595,0,0,34.0259615384615,-0.299999999999997,-0.00291262135922327,1.10000000000001,0.049420783671927,0,0,0,NA,NA,NA,0,NA,0,NA
"063955",1641516220,"00:43:40",10,-6.90608050074459,0.888291134435721,293,0,-23.7376994232361,1090.29649406517,33.019638006271,308.6,474.3,21.7784296954578,0.120686416038437,0,0,34,0,0,0,0,0,0,0,NA,NA,NA,0,NA,0,NA
"063955",1641516230,"00:43:50",10,-15.153410271971,25.5763190115751,116,35.5824,-8.16580356149491,514.510718039821,22.682828704547,115,1396,37.3630833845388,0.0841969187463446,0,0,34,0,0,0,0,0,0,0,NA,NA,NA,0,NA,0,NA
"063955",1641516240,"00:44:00",400,-15.664210660189,0.382072960245414,58,0,-15.645003796565,0.163080157917332,0.403831843614805,57.885,0.273140703517588,0.522628647815624,0.00563234330186432,0,0,32.6485,-2.4,-0.0120603015075377,3.4,0.0670841201302216,1,0,68.1818181818182,NA,NA,NA,0,NA,0,NA
"063955",1641516640,"00:50:40",10,-15.9763516334626,1.43555720909683,58,4.4478,-20.0582970932022,38.7894870607099,6.22812066844485,105.2,5769.7,75.9585413235404,0.126582540345417,0,0,31.6,0,0,0,0,0,0,0,NA,NA,NA,0,NA,0,NA
"063955",1641516650,"00:50:50",1068,-10.6725674351358,0.396934529528186,73,0,-10.6395823598393,0.168978253296922,0.411069645311986,73.2078651685393,0.352583426439277,0.593787357931505,0.00649190772528768,0,0,30.9747191011236,-1,-0.00187617260787992,3.40000000000001,0.0401623544272878,0,0,0,NA,NA,NA,0,NA,0,NA
"063955",1641517718,"01:08:38",10,-10.8206665822253,0.612019188780251,73,0,-5.59982516358979,140.500178750518,11.8532771312628,85.4,768.8,27.7272429209974,0.0585030498583385,0,0,30.6,0,0,0,0,0,0,0,NA,NA,NA,0,NA,0,NA
"063955",1641517728,"01:08:48",10,-12.5865467845682,2.77935291725993,172,5.9304,-16.3313112815411,53.2569105972417,7.29773325062254,180.8,401.2,20.0299775336868,0.0515608703278332,0,0,30.6,0,0,0,0,0,0,0,NA,NA,NA,0,NA,0,NA
"063955",1641517738,"01:08:58",40,-8.61019483834489,0.578166506005079,170,0,-8.55352289852644,0.603908471872991,0.777115481684023,170.2,0.168421052631579,0.410391340834062,0.0107761297655024,0,0,30.6,0,0,0,0,0,0,0,NA,NA,NA,0,NA,0,NA
"063955",1641517778,"01:09:38",140,-6.67562200211028,0.669513848501912,170,0,-6.63243154042787,0.349314725033545,0.591028531488578,170.3,0.3,0.547722557505166,0.00781725217218111,0,0,30.6128571428571,0,0,0.599999999999994,0.0514495755427522,0,0,0,NA,NA,NA,0,NA,0,NA
"063955",1641517918,"01:11:58",240,-5.31102303655891,0.538105690487438,170,0,-5.35679682566478,0.277964064249488,0.527222973939384,170.383333333333,0.271988795518207,0.521525450499021,0.00815910484307299,0,0,30.9316666666667,0.5,0.00420168067226891,1.70000000000002,0.0558371694185592,0,0,0,NA,NA,NA,0,NA,0,NA
"063955",1641518158,"01:15:58",210,-4.44000499282267,0.581847962584833,171,1.4826,-4.42826070277496,0.381741330196182,0.617852191220669,170.552380952381,0.518864468864469,0.720322475606911,0.00918831448661927,0,0,31.1371428571429,0.299999999999997,0.00288461538461536,1.49999999999999,0.0660343111302942,0,0,0,NA,NA,NA,0,NA,0,NA
"063955",1641518368,"01:19:28",10,-8.29520487232021,0.306995014867746,170,1.4826,-10.883973042233,22.4702414151827,4.74027862210468,173.2,68.7,8.28854631404084,0.0157194327690438,0,0,31.4,0,0,0,0,0,0,0,NA,NA,NA,0,NA,0,NA
"063955",1641518378,"01:19:38",106,-7.2122524330498,0.527885147045825,170,0,-7.19678068789055,0.268205023658248,0.517885145238062,170.018867924528,0.32656023222061,0.571454488319595,0.00838882239726645,0,0,31.4528301886792,0.200000000000003,0.0038461538461539,0.200000000000003,0.0277350098112619,0,0,0,NA,NA,NA,0,NA,0,NA
